event_id,timestamp_open,datetime_open_utc,event_type,entry_price,fwd_ret_15m,fwd_ret_30m,fwd_ret_1h,fwd_ret_2h,fwd_ret_4h,fwd_ret_8h,fwd_ret_12h,fwd_ret_24h
5m_4452,1782394800000,2026-06-25 13:40:00+00:00,BREAKDOWN_CANDIDATE,60077.99,-0.02976,-0.01348,-0.0098,-0.01465,-0.00902,-0.002,-0.01272,-0.00995
5m_4565,1782686400000,2026-06-28 22:40:00+00:00,BREAKDOWN_CANDIDATE,59109.29,-0.00072,0.00268,0.0105,0.00458,0.0113,0.01643,0.01728,0.02159
5m_4576,1782740100000,2026-06-29 13:35:00+00:00,BREAKDOWN_CANDIDATE,59738.01,-0.00475,-0.0078,-0.00285,0.00133,0.01175,0.0122,0.00224,-0.02311
5m_4577,1782740400000,2026-06-29 13:40:00+00:00,BREAKDOWN_CANDIDATE,59460.01,0.00202,-0.00621,-0.00235,0.00625,0.01951,0.01689,0.00637,-0.01497
5m_4608,1782831600000,2026-06-30 15:00:00+00:00,BREAKDOWN_CANDIDATE,58311.1,0.00077,0.00204,0.00252,0.00399,0.0057,0.00441,0.01225,0.02493
5m_4711,1783338900000,2026-07-06 11:55:00+00:00,BREAKDOWN_CANDIDATE,62483.84,-0.00797,-0.00646,-0.01168,-0.01145,0.017,0.02008,0.02494,0.01476
5m_4712,1783339200000,2026-07-06 12:00:00+00:00,BREAKDOWN_CANDIDATE,61920.01,0.00271,0.00407,-0.00503,-0.00107,0.02509,0.0271,0.03454,0.02527
5m_4740,1783477800000,2026-07-08 02:30:00+00:00,BREAKDOWN_CANDIDATE,62709.99,0.00483,0.00526,0.00357,0.00121,-0.00248,-0.00898,-0.01103,-0.01343
5m_4855,1783812000000,2026-07-11 23:20:00+00:00,BREAKDOWN_CANDIDATE,63918.01,-0.00099,-0.0004,-0.00125,0.00071,0.0032,-0.00056,-0.00064,-0.00107
5m_4879,1783911900000,2026-07-13 03:05:00+00:00,BREAKDOWN_CANDIDATE,63012.02,-0.00029,-0.00219,-0.00333,-0.00314,-0.00273,0.00173,-0.00368,-0.00838
5m_4880,1783913400000,2026-07-13 03:30:00+00:00,BREAKDOWN_CANDIDATE,62762.02,0.00124,-0.00051,-0.00048,-2e-05,0.00459,0.00379,-0.00082,-0.0051
5m_4936,1784189400000,2026-07-16 08:10:00+00:00,BREAKDOWN_CANDIDATE,63943.99,0.00339,0.00313,0.00263,0.00315,0.00344,0.00888,0.00378,-0.01645
5m_5165,1784814900000,2026-07-23 13:55:00+00:00,BREAKDOWN_CANDIDATE,64880.0,0.00262,0.00416,0.00046,0.00121,-0.00306,0.00447,0.00318,-0.01117
5m_5277,1785163200000,2026-07-27 14:40:00+00:00,BREAKDOWN_CANDIDATE,64476.0,0.00328,0.00392,0.00163,0.00694,0.0056,-0.00406,-0.02088,-0.01734
5m_5286,1785192900000,2026-07-27 22:55:00+00:00,BREAKDOWN_CANDIDATE,63792.0,0.00013,0.00142,-0.00057,-0.00477,-0.00951,-0.00237,-0.00499,-0.00013
5m_5357,1785505200000,2026-07-31 13:40:00+00:00,BREAKDOWN_CANDIDATE,63465.57,-0.00307,-0.01211,-0.01231,-0.0111,-0.0064,-0.00673,-0.00772,-0.00608
5m_5358,1785506400000,2026-07-31 14:00:00+00:00,BREAKDOWN_CANDIDATE,63022.17,-0.00651,-0.00447,-0.00562,-0.00365,0.00368,-0.00115,-0.00043,0.001
5m_5452,1785608100000,2026-08-01 18:15:00+00:00,BREAKDOWN_CANDIDATE,62605.29,-0.0033,-0.00377,-0.0004,-0.00044,0.00381,0.01485,0.01338,0.01143
5m_5453,1785608400000,2026-08-01 18:20:00+00:00,BREAKDOWN_CANDIDATE,62510.01,-0.00128,-0.00083,0.00016,0.00173,0.00506,0.01632,0.01515,0.01293
5m_5668,1786322400000,2026-08-10 00:40:00+00:00,BREAKDOWN_CANDIDATE,64838.0,0.00201,0.00252,0.00205,0.00559,0.00264,0.00597,0.00278,-0.01333
