event_family,horizon,window_bars,window_type,n_events,ev_mean_abs_ret_pct,ctrl_mean_abs_ret_pct,vol_ratio,ev_jump_rate_pct,ctrl_jump_rate_pct,jump_multiplier,ev_directional_pos_pct,ctrl_directional_pos_pct,mean_signed_ret_bps
CRYPTO_MARKET_STRUCTURE,-1h,-12,PRE,2,0.14444726608235925,0.4095484411893384,0.3526979933433238,0.0,1.090909090909091,0.0,0.0,49.63636363636363,-14.444726608235925
CRYPTO_MARKET_STRUCTURE,-15m,-3,PRE,2,0.35160060016794503,0.2056510399560374,1.7096869072784657,0.0,0.8181818181818182,0.0,0.0,51.45454545454545,-35.1600600167945
STABLECOIN,+5m,1,POST,3,0.48816491444950333,0.11596178995538718,4.209668589702856,33.33333333333333,1.3636363636363635,24.444426518531664,33.33333333333333,51.45454545454545,26.58079827283425
STABLECOIN,+15m,3,POST,3,0.17873031768012027,0.20587920490585696,0.8681277433245632,0.0,0.9090909090909091,0.0,33.33333333333333,51.090909090909086,1.1271866625032583
STABLECOIN,+30m,6,POST,3,0.3180816393188124,0.2859624331873203,1.1123157802852826,0.0,1.090909090909091,0.0,33.33333333333333,51.63636363636363,-10.530044017951212
STABLECOIN,+1h,12,POST,3,0.691490236048568,0.3837394996490768,1.8019735646378796,0.0,1.090909090909091,0.0,33.33333333333333,52.81818181818182,-57.216090129355024
STABLECOIN,+4h,48,POST,3,1.2540886976794972,0.802415377805241,1.562890205593341,0.0,0.45454545454545453,0.0,0.0,52.36363636363637,-125.40886976794971
STABLECOIN,+12h,144,POST,3,4.461634478627552,1.4392783568175658,3.099908615720583,0.0,0.45454545454545453,0.0,0.0,50.90909090909091,-446.1634478627552
STABLECOIN,+24h,288,POST,3,7.482590385840204,2.0943799029508114,3.5726979630581264,33.33333333333333,0.5454545454545455,61.11099907427947,0.0,48.90909090909091,-748.2590385840205
STABLECOIN,+48h,576,POST,3,7.647089284935582,2.8715039526693125,2.6630945831477497,0.0,0.45454545454545453,0.0,33.33333333333333,52.27272727272727,-200.20654370622876
STABLECOIN,-24h,-288,PRE,3,2.157333535634069,2.2748300492704345,0.9483489054389121,0.0,1.090909090909091,0.0,66.66666666666666,51.090909090909086,-22.45016041132549
STABLECOIN,-12h,-144,PRE,3,1.9593522475619334,1.5334003076354825,1.277781776893924,0.0,0.8181818181818182,0.0,66.66666666666666,51.72727272727272,181.9430893507601
